Provider ID,FRN,holding_company
130953,3722410,Northwest Communications Cooperative Association
130565,3722444,Grauer Management Inc.
131114,3722485,Ringsted Telephone Company
131321,3722758,Terril Telephone Cooperative
130484,3722790,Farmers Mutual Telephone Company-Nora Springs
130484,3722824,Farmers Mutual Telephone Company-Nora Springs
130845,3722840,Minburn Telephone Company
130484,3722865,Farmers Mutual Telephone Company-Nora Springs
140106,3722907,"WTC Communications, Inc."
130953,3722949,Northwest Communications Cooperative Association
130953,3722998,Northwest Communications Cooperative Association
130794,3723053,"NBVDS Investment, LLC"
130794,3723129,"NBVDS Investment, LLC"
131311,3723640,Telephone Electronics Corporation
131311,3723665,Telephone Electronics Corporation
131311,3723681,Telephone Electronics Corporation
280069,3723699,ZMP Holding Company
131311,3723707,Telephone Electronics Corporation
131311,3723715,Telephone Electronics Corporation
131311,3723723,Telephone Electronics Corporation
280069,3723731,ZMP Holding Company
131008,3723756,Panora Communications Cooperative
131311,3723780,Telephone Electronics Corporation
131510,3724655,Wyoming Mutual Telephone Company
131315,3724705,Templeton Telephone Company
130482,3726288,"Farmers Mutual Telephone Company of Stanton, Iowa"
130473,3726759,"F&B Communications, Inc."
131114,3727146,Ringsted Telephone Company
130674,3728284,"JED Enterprises, Inc."
131045,3728615,Pioneer Telephone Cooperative (OK)
131122,3728680,Roberts County Telephone Cooperative Association
130112,3729142,"Ben Lomand Rural Telephone Coop., Inc."
131367,3729316,"Triangle Telephone Cooperative Assn., Inc."
131367,3729324,"Triangle Telephone Cooperative Assn., Inc."
130930,3730702,North English Cooperative Telephone Company
130819,3730728,Mid Century Telephone Co-operative
130492,3730835,FDF Communications Co.
130363,3730850,"Craigville Telephone Company, Inc."
131116,3730959,River Valley Telecommunications Cooperative
131226,3731114,American Broadband Holding Company
130310,3731759,Colo Telephone Company
131125,3731882,"Comporium, Inc."
190380,3731940,"Troy Cablevision, Inc."
130069,3732302,"Arkansas Telephone Company, Inc."
130784,3732484,"Martell Enterprises, Inc."
130245,3732609,Chickasaw Holding Company
130045,3732633,"Alpine Communications, LLC"
130132,3732773,"Blackfoot Telephone Cooperative, Inc."
130259,3733029,Citizens Mutual Telephone Cooperative
130385,3733201,"D & P Communications, Inc."
130699,3733284,Kinsman Mutual Telephone Co.
430041,3733367,Hancock Telephone Company
131386,3733813,U.S. TelePacific Holdings Corp.
131362,3733847,"Townes Telecommunications, Inc."
130314,3734167,Columbus Telephone Company
300097,3734183,"XTel Communications, Inc."
130624,3734803,HTC Holding Co.
130837,3734951,Miles Cooperative Telephone Association
130079,3735016,"Radiate Holdings, LP"
130079,3735784,"Radiate Holdings, LP"
130264,3735867,Citizens Telephone Company of Kecksburg
130263,3736246,Green Hills Telephone Corporation
131340,3737194,The Nebraska Central Telephone Co.
330002,3737673,Service Electric Television Inc.
170002,3737699,Bristol Bay Cellular Partnership
330025,3738416,Uniti Group Inc.
330025,3738465,Uniti Group Inc.
130432,3738655,EATEL Corp.
300192,3738739,"USConnect Holdings, Inc."
130986,3738986,Oregon Telephone Corporation
130986,3738994,Oregon Telephone Corporation
130481,3739075,Farmers Mutual Telephone Company (OH)
131032,3739208,"Perry-Spencer Rural Telephone Cooperative, Inc."
131032,3739216,"Perry-Spencer Rural Telephone Cooperative, Inc."
130507,3739380,"Foothills Rural Telephone Cooperative Corporation, Inc."
130906,3739430,"Nuvera Communications, Inc."
131226,3739513,American Broadband Holding Company
131226,3739521,American Broadband Holding Company
131226,3739554,American Broadband Holding Company
130691,3739976,"Kennebec Telephone Company, Inc."
130906,3740008,"Nuvera Communications, Inc."
131056,3740040,Polar Communication Mutual Aid Corporation
130337,3740396,Consolidated Telcom
131358,3740412,"Tonica Technologies, Inc."
131358,3740446,"Tonica Technologies, Inc."
130108,3740610,BEK Communications Cooperative
131407,3740628,UTMA
130733,3740701,Lemonweir Valley Telephone Company
131226,3740768,American Broadband Holding Company
130405,3741253,Dickey Rural Telephone Cooperative
131005,3741386,"Palmetto Rural Telephone Cooperative, Inc."
130748,3741436,Lismore Cooperative Telephone Company
130074,3741493,"Arvig Enterprises, Inc."
130686,3741535,Kasson & Mantorville Telephone Company
130662,3741550,"Interstate Telecommunications Cooperative, Inc."
450001,3741576,Federated Telephone Cooperative
130347,3741642,Cooperative Telephone Exchange
130769,3741857,"Schwartz Ventures, Inc."
130449,3741956,Ellington Telephone Company
131127,3741964,Rockwell Cooperative Telephone Association
130450,3742038,Ellsworth Cooperative Telephone Association
130142,3742046,Rural Communications Holding Corporation
130502,3742103,"Five Area Telephone Cooperative, Inc."
130502,3742343,"Five Area Telephone Cooperative, Inc."
131097,3742384,Red River Rural Telephone Association
130338,3742467,Consolidated Telephone Company
130590,3742475,Harmony Telephone Company
130142,3742806,Rural Communications Holding Corporation
131180,3742954,"Shawnee Communications, Inc."
130605,3743358,Hershey Cooperative Telephone Company
130239,3744125,"Chequamegon Communications Cooperative, Inc."
130239,3744133,"Chequamegon Communications Cooperative, Inc."
150317,3744141,Wood County Telephone Company
130583,3744224,Halstad Telephone Company
130074,3744273,"Arvig Enterprises, Inc."
130714,3744398,"Lakeland Communications, Inc."
131366,3744463,"BHT Holdings, Inc."
130142,3744513,Rural Communications Holding Corporation
